,ticker,lot
0,AFKS,100
1,AFLT,10
2,AGRO,1
3,AKRN,1
4,ALRS,10
5,APTK,10
6,AQUA,1
7,BSPB,10
8,CBOM,100
9,CHMF,1
10,FEES,10000
11,FESH,10
12,GAZP,10
13,GMKN,10
14,HYDR,1000
15,IRAO,100
16,KMAZ,10
17,LKOH,1
18,LSRG,1
19,MAGN,10
20,MOEX,10
21,MRKC,1000
22,MRKP,10000
23,MRKS,10000
24,MRKU,10000
25,MRKV,10000
26,MRKZ,10000
27,MSNG,1000
28,MSRS,1000
29,MTLR,1
30,MTSS,10
31,MVID,1
32,NLMK,10
33,NVTK,1
34,OGKB,1000
35,PHOR,1
36,PIKK,1
37,PLZL,1
38,RASP,10
39,ROSN,1
40,RTKM,10
41,RUAL,10
42,SBER,10
43,SELG,10
44,SNGS,100
45,SVAV,1
46,TATN,1
47,TGKA,100000
48,TGKN,100000
49,TRMK,10
50,TRNFP,1
51,VSMO,1
52,VTBR,10000
53,YNDX,1
